,IP,serverid
11612_109,11612_109,4.0
11661_4,11661_4,1.0
11662_84,11662_84,11.0
11670_144,11670_144,10.0
11676_117,11676_117,11.0
11681_180,11681_180,0.0
11685_203,11685_203,0.0
11694_101,11694_101,11.0
11698_111,11698_111,15.0
11714_20,11714_20,0.0
11717_73,11717_73,3.0
11729_83,11729_83,15.0
11733_33,11733_33,8.0
11739_82,11739_82,5.0
11749_164,11749_164,11.0
11752_128,11752_128,1.0
11769_156,11769_156,14.0
11772_235,11772_235,7.0
11773_187,11773_187,8.0
11774_182,11774_182,3.0
11802_44,11802_44,10.0
11808_161,11808_161,5.0
11814_18,11814_18,10.0
11841_162,11841_162,11.0
11857_10,11857_10,4.0
11860_211,11860_211,5.0
11861_165,11861_165,2.0
11925_110,11925_110,14.0
11926_102,11926_102,6.0
11927_84,11927_84,3.0
11930_138,11930_138,11.0
11930_171,11930_171,16.0
11935_173,11935_173,8.0
11951_153,11951_153,15.0
11953_211,11953_211,3.0
12002_76,12002_76,5.0
12011_65,12011_65,12.0
12021_32,12021_32,6.0
12045_56,12045_56,12.0
12046_203,12046_203,11.0
12050_200,12050_200,11.0
12055_225,12055_225,7.0
12056_136,12056_136,12.0
12056_21,12056_21,14.0
12087_137,12087_137,0.0
12088_61,12088_61,13.0
12091_134,12091_134,7.0
12097_2,12097_2,12.0
12116_204,12116_204,10.0
12161_247,12161_247,12.0
12166_169,12166_169,5.0
12202_86,12202_86,12.0
12230_211,12230_211,9.0
12236_45,12236_45,4.0
12246_8,12246_8,7.0
12357_32,12357_32,12.0
12435_228,12435_228,8.0
12467_181,12467_181,3.0
12468_100,12468_100,14.0
12468_200,12468_200,16.0
12469_84,12469_84,16.0
12486_238,12486_238,1.0
12546_253,12546_253,13.0
12584_227,12584_227,15.0
12600_71,12600_71,2.0
12674_71,12674_71,8.0
12685_235,12685_235,6.0
12685_236,12685_236,11.0
12688_140,12688_140,13.0
12691_118,12691_118,5.0
12692_131,12692_131,13.0
12703_99,12703_99,13.0
12712_50,12712_50,4.0
12733_147,12733_147,4.0
12736_94,12736_94,7.0
12746_165,12746_165,9.0
12817_196,12817_196,4.0
12823_18,12823_18,2.0
12834_246,12834_246,16.0
12870_234,12870_234,12.0
12924_178,12924_178,7.0
12933_145,12933_145,12.0
12943_248,12943_248,4.0
12943_95,12943_95,6.0
12952_120,12952_120,13.0
12969_46,12969_46,9.0
12979_241,12979_241,9.0
12986_243,12986_243,5.0
13016_166,13016_166,8.0
13021_186,13021_186,6.0
13022_2,13022_2,2.0
13035_162,13035_162,4.0
13046_134,13046_134,9.0
13076_159,13076_159,13.0
13085_24,13085_24,11.0
13114_82,13114_82,4.0
13132_237,13132_237,13.0
13155_70,13155_70,5.0
13184_115,13184_115,1.0
13199_252,13199_252,14.0
13213_228,13213_228,7.0
13215_218,13215_218,2.0
13227_120,13227_120,15.0
13230_66,13230_66,15.0
13232_85,13232_85,14.0
13236_133,13236_133,5.0
13239_133,13239_133,8.0
13248_115,13248_115,9.0
13289_14,13289_14,6.0
13307_252,13307_252,6.0
13321_169,13321_169,10.0
13336_58,13336_58,2.0
13342_85,13342_85,1.0
13344_35,13344_35,15.0
13346_32,13346_32,6.0
13379_49,13379_49,0.0
13385_183,13385_183,10.0
13409_202,13409_202,6.0
13443_4,13443_4,10.0
13454_193,13454_193,8.0
13491_83,13491_83,2.0
13497_67,13497_67,3.0
13502_37,13502_37,6.0
13531_96,13531_96,13.0
13550_195,13550_195,15.0
13606_206,13606_206,3.0
13607_234,13607_234,4.0
13608_204,13608_204,4.0
13612_216,13612_216,8.0
13613_70,13613_70,3.0
13647_12,13647_12,7.0
13648_178,13648_178,13.0
13649_250,13649_250,9.0
13670_254,13670_254,2.0
13690_173,13690_173,11.0
13697_113,13697_113,16.0
13730_93,13730_93,5.0
13731_133,13731_133,6.0
13776_226,13776_226,2.0
13776_239,13776_239,2.0
13823_18,13823_18,12.0
13825_9,13825_9,13.0
13826_69,13826_69,7.0
13831_172,13831_172,17.0
13910_50,13910_50,11.0
13917_184,13917_184,10.0
13926_197,13926_197,11.0
13953_236,13953_236,7.0
13967_220,13967_220,8.0
13972_11,13972_11,10.0
14022_8,14022_8,6.0
14026_241,14026_241,7.0
14040_136,14040_136,3.0
14069_212,14069_212,14.0
14096_221,14096_221,7.0
14130_50,14130_50,11.0
14131_74,14131_74,9.0
14132_36,14132_36,13.0
14149_117,14149_117,12.0
14154_89,14154_89,15.0
14155_88,14155_88,15.0
14156_232,14156_232,5.0
14170_51,14170_51,0.0
14171_6,14171_6,5.0
14172_51,14172_51,1.0
14174_65,14174_65,10.0
14183_97,14183_97,10.0
14184_244,14184_244,1.0
14185_238,14185_238,1.0
14188_97,14188_97,12.0
14190_146,14190_146,5.0
14192_159,14192_159,2.0
192.168.100.1,192.168.100.1,0.0
192.168.100.14,192.168.100.14,0.0
192.168.100.2,192.168.100.2,0.0
192.168.100.20,192.168.100.20,1.0
192.168.200.1,192.168.200.1,3.0
192.168.200.2,192.168.200.2,16.0
192.168.210.1,192.168.210.1,17.0
192.168.210.45,192.168.210.45,4.0
192.168.210.46,192.168.210.46,4.0
192.168.210.47,192.168.210.47,3.0
192.168.210.48,192.168.210.48,5.0
192.168.210.49,192.168.210.49,1.0
192.168.210.50,192.168.210.50,3.0
192.168.210.52,192.168.210.52,1.0
192.168.210.53,192.168.210.53,0.0
192.168.210.54,192.168.210.54,0.0
192.168.210.55,192.168.210.55,8.0
192.168.210.56,192.168.210.56,2.0
192.168.210.57,192.168.210.57,3.0
192.168.220.1,192.168.220.1,0.0
192.168.220.2,192.168.220.2,16.0
192.168.220.42,192.168.220.42,3.0
192.168.220.43,192.168.220.43,0.0
192.168.220.45,192.168.220.45,2.0
192.168.220.46,192.168.220.46,2.0
192.168.220.47,192.168.220.47,0.0
192.168.220.48,192.168.220.48,0.0
192.168.220.49,192.168.220.49,3.0
192.168.220.50,192.168.220.50,2.0
192.168.220.51,192.168.220.51,0.0
